               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.029467,              0.0101,                   0,                   1,             0.99947,               0.995,             0.59315,            0.029727,            0.003597,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.031226,            0.011651,                   0,                   1,             0.99843,               0.995,             0.56557,              0.0308,           0.0035737,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.032202,            0.012413,                   0,                   1,             0.99839,               0.995,             0.57808,            0.027757,           0.0035305,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.030138,             0.01073,                   0,                   1,              0.9987,               0.995,             0.58637,            0.028017,           0.0034804,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.027291,           0.0090414,                   0,                   1,             0.99819,               0.995,             0.59554,            0.028278,            0.003417,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.028506,             0.01287,                   0,                   1,             0.99811,               0.995,             0.58152,            0.029685,           0.0034211,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.026841,           0.0095403,                   0,                   1,              0.9973,               0.995,             0.62154,            0.033692,           0.0034475,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.028306,            0.010762,                   0,             0.99996,                   1,               0.995,             0.60363,            0.030115,           0.0034242,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.022324,           0.0079002,                   0,             0.99992,                   1,               0.995,             0.61155,            0.030324,           0.0033913,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.027644,           0.0094728,                   0,             0.99944,                   1,               0.995,             0.62658,            0.029703,           0.0033815,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.025839,            0.010119,                   0,             0.99781,                   1,               0.995,             0.60706,            0.029319,           0.0033719,                   0,            0.000496,            0.000496,            0.000496
